Plataform,course_id,Institution,Title,Level,Price,Language,Rating
Coursera,machine-learning,Stanford University,Machine Learning,Unknown,0,English,4.56
Coursera,indigenous-canada,University of Alberta,Indigenous Canada,Unknown,0,English,4.83
Coursera,the-science-of-well-being,Yale University,The Science of Well-Being,Unknown,0,English,4.94
Coursera,technical-support-fundamentals,Google,Technical Support Fundamentals,Unknown,0,English,4.4
Coursera,google-cbrs-cpi-training,Google - Spectrum Sharing,Become a CBRS Certified Professional Installer by Google,Unknown,0,English,4.0
Coursera,financial-markets-global,Yale University,Financial Markets,Unknown,0,English,4.23
Coursera,introduction-psychology,Yale University,Introduction to Psychology,Unknown,0,English,4.79
Coursera,python,University of Michigan,Programming for Everybody (Getting Started with Python),Unknown,0,English,4.89
Coursera,computer-networking,Google,The Bits and Bytes of Computer Networking,Unknown,0,English,4.13
Coursera,ai-for-everyone,DeepLearning.AI,AI For Everyone,Unknown,0,English,4.91
Coursera,python-crash-course,Google,Crash Course on Python,Unknown,0,English,4.43
Coursera,psychological-first-aid,Johns Hopkins University,Psychological First Aid,Unknown,0,English,4.69
Coursera,neural-networks-deep-learning,DeepLearning.AI,Neural Networks and Deep Learning,Unknown,0,English,4.64
Coursera,what-is-datascience,IBM,What is Data Science?,Unknown,0,English,4.43
Coursera,negotiation-skills,University of Michigan,Successful Negotiation: Essential Strategies and Skills,Unknown,0,English,4.84
Coursera,uva-darden-project-management,University of Virginia,Fundamentals of Project Planning and Management,Unknown,0,English,4.59
Coursera,project-management,"University of California, Irvine",Project Launch,Unknown,0,English,3.0
Coursera,brand,London Business School,"Brand Management: Aligning Business, Brand and Behaviour",Unknown,0,English,4.88
Coursera,sciwrite,Stanford University,Writing in the Sciences,Unknown,0,English,4.88
Coursera,food-and-health,Stanford University,Stanford Introduction to Food and Health,Unknown,0,English,4.59
Coursera,html-css-javascript-for-web-developers,Johns Hopkins University,"HTML, CSS, and Javascript for Web Developers",Unknown,0,English,4.78
Coursera,excel-essentials,Macquarie University,Excel Skills for Business: Essentials,Unknown,0,English,4.72
Coursera,negotiation,Yale University,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Unknown,0,English,4.52
Coursera,everyday-excel-part-1,University of Colorado Boulder,"Everyday Excel, Part 1",Unknown,0,English,1.5
Coursera,learning-how-to-learn,University of California San Diego,Learning How to Learn: Powerful mental tools to help you master tough subjects,Unknown,0,English,4.79
Coursera,gcp-fundamentals,Google Cloud,Google Cloud Platform Fundamentals: Core Infrastructure,Unknown,0,English,3.66
Coursera,wharton-contagious-viral-marketing,University of Pennsylvania,Viral Marketing and How to Craft Contagious Content,Unknown,0,English,4.7
Coursera,python-data,University of Michigan,Python Data Structures,Unknown,0,English,5.0
Coursera,private-equity,Università Bocconi,Private Equity and Venture Capital,Unknown,0,English,4.77
Coursera,learn-korean,Yonsei University,First Step Korean,Unknown,0,English,4.87
Coursera,introduction-tensorflow,DeepLearning.AI,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Unknown,0,English,4.51
Coursera,os-power-user,Google,Operating Systems and You: Becoming a Power User,Unknown,0,English,4.28
Coursera,open-source-tools-for-data-science,IBM,Tools for Data Science,Unknown,0,English,3.4
Coursera,deep-neural-network,DeepLearning.AI,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Unknown,0,English,4.39
Coursera,diversity-inclusion-workplace,ESSEC Business School,Diversity and inclusion in the workplace,Unknown,0,English,4.49
Coursera,clinical-trials,Johns Hopkins University,Design and Interpretation of Clinical Trials,Unknown,0,English,5.0
Coursera,visual-elements-user-interface-design,California Institute of the Arts,Visual Elements of User Interface Design,Unknown,0,English,4.67
Coursera,mafash,Università Bocconi,Management of Fashion and Luxury Companies,Unknown,0,English,4.74
Coursera,pap,Universitat Autònoma de Barcelona,Primeros Auxilios Psicológicos (PAP),Unknown,0,Spanish,4.93
Coursera,social-psychology,Wesleyan University,Social Psychology,Unknown,0,English,4.5
Coursera,project-planning,"University of California, Irvine",Initiating and Planning Projects,Unknown,0,English,4.67
Coursera,computational-thinking-problem-solving,University of Pennsylvania,Computational Thinking for Problem Solving,Unknown,0,English,4.29
Coursera,agile-atlassian-jira,Atlassian,Agile with Atlassian Jira,Unknown,0,English,4.64
Coursera,fundamentals-of-graphic-design,California Institute of the Arts,Fundamentals of Graphic Design,Unknown,0,English,4.61
Coursera,user-experience-design,Georgia Institute of Technology,Introduction to User Experience Design,Unknown,0,English,4.52
Coursera,wharton-marketing,University of Pennsylvania,Introduction to Marketing,Unknown,0,English,4.94
Coursera,python-for-applied-data-science-ai,IBM,Python for Data Science and AI,Unknown,0,English,4.01
Coursera,uva-darden-market-analytics,University of Virginia,Marketing Analytics,Unknown,0,English,4.8
Coursera,classification-vector-spaces-in-nlp,DeepLearning.AI,Natural Language Processing with Classification and Vector Spaces,Unknown,0,English,4.73
Coursera,wharton-quantitative-modeling,University of Pennsylvania,Fundamentals of Quantitative Modeling,Unknown,0,English,4.08
Coursera,linear-algebra-machine-learning,Imperial College London,Mathematics for Machine Learning: Linear Algebra,Unknown,0,English,4.0
Coursera,python-data-analysis,University of Michigan,Introduction to Data Science in Python,Unknown,0,English,3.8
Coursera,wharton-customer-analytics,University of Pennsylvania,Customer Analytics,Unknown,0,English,4.6
Coursera,introduction-psych,University of Toronto,Introduction to Psychology,Unknown,0,English,4.82
Coursera,careerdevelopment,University of Pennsylvania,English for Career Development,Unknown,0,English,4.93
Coursera,global-diplomacy,University of London,Global Diplomacy – Diplomacy in the Modern World,Unknown,0,English,4.0
Coursera,sql-for-data-science,"University of California, Davis",SQL for Data Science,Unknown,0,English,4.38
Coursera,professional-emails-english,Georgia Institute of Technology,Write Professional Emails in English,Unknown,0,English,4.51
Coursera,medical-neuroscience,Duke University,Medical Neuroscience,Unknown,0,English,4.89
Coursera,system-administration-it-infrastructure-services,Google,System Administration and IT Infrastructure Services,Unknown,0,English,4.67
Coursera,womens-health-human-rights,Stanford University,International Women's Health and Human Rights,Unknown,0,English,4.82
Coursera,childnutrition,Stanford University,Child Nutrition and Cooking,Unknown,0,English,4.94
Coursera,neurobiology,The University of Chicago,Understanding the Brain: The Neurobiology of Everyday Life,Unknown,0,English,4.72
Coursera,social-media-marketing-introduction,Facebook,Introduction to Social Media Marketing,Unknown,0,English,4.0
Coursera,forensic-accounting,West Virginia University,Forensic Accounting and Fraud Examination,Unknown,0,English,4.37
Coursera,clinical-terminology,University of Pittsburgh,Clinical Terminology for International and U.S. Students,Unknown,0,English,4.92
Coursera,science-exercise,University of Colorado Boulder,Science of Exercise,Unknown,0,English,4.67
Coursera,uva-darden-digital-product-management,University of Virginia,Digital Product Management: Modern Fundamentals,Unknown,0,English,5.0
Coursera,datasciencemathskills,Duke University,Data Science Math Skills,Unknown,0,English,4.04
Coursera,machine-learning-projects,DeepLearning.AI,Structuring Machine Learning Projects,Unknown,0,English,4.53
Coursera,american-law,University of Pennsylvania,An Introduction to American Law,Unknown,0,English,4.54
Coursera,content-marketing,"University of California, Davis",The Strategy of Content Marketing,Unknown,0,English,4.46
Coursera,introduction-cybersecurity-cyber-attacks,IBM,Introduction to Cybersecurity Tools & Cyber Attacks,Unknown,0,English,4.4
Coursera,data-scientists-tools,Johns Hopkins University,The Data Scientist’s Toolbox,Unknown,0,English,4.08
Coursera,animal-welfare,The University of Edinburgh,Animal Behaviour and Welfare,Unknown,0,English,4.8
Coursera,convolutional-neural-networks-tensorflow,DeepLearning.AI,Convolutional Neural Networks in TensorFlow,Unknown,0,English,4.62
Coursera,positive-psychology-visionary-science,University of Pennsylvania,Positive Psychology: Martin E. P. Seligman’s Visionary Science,Unknown,0,English,2.81
Coursera,cancer,Johns Hopkins University,Introduction to the Biology of Cancer,Unknown,0,English,4.73
Coursera,convolutional-neural-networks,DeepLearning.AI,Convolutional Neural Networks,Unknown,0,English,3.17
Coursera,python-network-data,University of Michigan,Using Python to Access Web Data,Unknown,0,English,4.57
Coursera,physiology,Duke University,Introductory Human Physiology,Unknown,0,English,4.82
Coursera,systematic-review,Johns Hopkins University,Introduction to Systematic Review and Meta-Analysis,Unknown,0,English,4.09
Coursera,communication-strategies-virtual-age,University of Toronto,Communication Strategies for a Virtual Age,Unknown,0,English,4.33
Coursera,moral-politics,Yale University,Moral Foundations of Politics,Unknown,0,English,5.0
Coursera,etudier-en-france,École Polytechnique,Étudier en France: French Intermediate course B1-B2,Unknown,0,French,4.86
Coursera,company-future-management,London Business School,Managing the Company of the Future,Unknown,0,English,4.92
Coursera,site-reliability-engineering-slos,Google Cloud,Site Reliability Engineering: Measuring and Managing Reliability,Unknown,0,English,3.0
Coursera,autism-spectrum-disorder,"University of California, Davis",Autism Spectrum Disorder,Unknown,0,English,4.3
Coursera,data-science-methodology,IBM,Data Science Methodology,Unknown,0,English,4.57
Coursera,wharton-accounting,University of Pennsylvania,Introduction to Financial Accounting,Unknown,0,English,4.55
Coursera,marketing-digital,University of Illinois at Urbana-Champaign,Marketing in a Digital World,Unknown,0,English,4.51
Coursera,wind-energy,Technical University of Denmark (DTU),Wind Energy,Unknown,0,English,4.68
Coursera,sustainable-finance,Erasmus University Rotterdam,Principles of Sustainable Finance,Unknown,0,English,4.0
Coursera,financial-engineering-1,Columbia University,Financial Engineering and Risk Management Part I,Unknown,0,English,2.45
Coursera,philosophy,The University of Edinburgh,Introduction to Philosophy,Unknown,0,English,4.58
Coursera,analytics-business-metrics,Duke University,Business Metrics for Data-Driven Companies,Unknown,0,English,3.34
Coursera,python-basics,University of Michigan,Python Basics,Unknown,0,English,2.31
Coursera,sustainability,University of Illinois at Urbana-Champaign,Introduction to Sustainability,Unknown,0,English,5.0
Coursera,positive-psychiatry,The University of Sydney,Positive Psychiatry and Mental Health,Unknown,0,English,4.43
Coursera,crypto,Stanford University,Cryptography I,Unknown,0,English,5.0
Coursera,teach-online,UNSW Sydney (The University of New South Wales),Learning to Teach Online,Unknown,0,English,4.68
Coursera,it-security,Google,IT Security: Defense against the digital dark arts,Unknown,0,English,5.0
Coursera,neuromarketing,Copenhagen Business School,An Introduction to Consumer Neuroscience & Neuromarketing,Unknown,0,English,3.97
Coursera,gamification,University of Pennsylvania,Gamification,Unknown,0,English,3.56
Coursera,contabilidad,Universidad Nacional Autónoma de México,Contabilidad para no contadores,Unknown,0,Spanish,4.74
Coursera,python-operating-system,Google,Using Python to Interact with the Operating System,Unknown,0,English,3.94
Coursera,cs-fundamentals-1,University of Illinois at Urbana-Champaign,Object-Oriented Data Structures in C++,Unknown,0,English,4.48
Coursera,gcp-big-data-ml-fundamentals,Google Cloud,Google Cloud Platform Big Data and Machine Learning Fundamentals,Unknown,0,English,3.96
Coursera,sql-data-science,IBM,Databases and SQL for Data Science,Unknown,0,English,4.34
Coursera,natural-language-processing-tensorflow,DeepLearning.AI,Natural Language Processing in TensorFlow,Unknown,0,English,5.0
Coursera,advanced-valuation-and-strategy,Erasmus University Rotterdam,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Unknown,0,English,4.49
Coursera,vital-signs,University of Pennsylvania,Vital Signs: Understanding What the Body Is Telling Us,Unknown,0,English,4.83
Coursera,research-methods,University of London,Understanding Research Methods,Unknown,0,English,4.54
Coursera,ibm-customer-engagement-specialist,IBM,IBM Customer Engagement Specialist Professional Certificate,Unknown,0,English,2.5
Coursera,introduction-to-calculus,The University of Sydney,Introduction to Calculus,Unknown,0,English,4.94
Coursera,camino-excelencia-gestion-proyectos,Pontificia Universidad Católica de Chile,Camino a la Excelencia en Gestión de Proyectos,Unknown,0,Spanish,4.64
Coursera,html,University of Michigan,Introduction to HTML5,Unknown,0,English,3.14
Coursera,wine,"University of California, Davis",Wine Tasting: Sensory Techniques for Wine Analysis,Unknown,0,English,4.85
Coursera,excel-intermediate-1,Macquarie University,Excel Skills for Business: Intermediate I,Unknown,0,English,4.3
Coursera,duke-programming-web,Duke University,"Programming Foundations with JavaScript, HTML and CSS",Unknown,0,English,4.31
Coursera,build-a-computer,Hebrew University of Jerusalem,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Unknown,0,English,4.29
Coursera,food-beverage-management,Università Bocconi,Food & Beverage Management,Unknown,0,English,4.93
Coursera,data-analysis-with-python,IBM,Data Analysis with Python,Unknown,0,English,3.94
Coursera,uva-darden-getting-started-agile,University of Virginia,Agile Meets Design Thinking,Unknown,0,English,3.78
Coursera,aws-fundamentals-going-cloud-native,Amazon Web Services,AWS Fundamentals: Going Cloud-Native,Unknown,0,English,4.4
Coursera,construction-project-management,Columbia University,Construction Project Management,Unknown,0,English,2.47
Coursera,mathematical-thinking,Stanford University,Introduction to Mathematical Thinking,Unknown,0,English,1.0
Coursera,everyday-parenting,Yale University,Everyday Parenting: The ABCs of Child Rearing,Unknown,0,English,4.93
Coursera,intro-to-healthcare,Stanford University,Introduction to Healthcare,Unknown,0,English,4.0
Coursera,machine-learning-with-python,IBM,Machine Learning with Python,Unknown,0,English,4.03
Coursera,terrorism,Universiteit Leiden,Terrorism and Counterterrorism: Comparing Theory and Practice,Unknown,0,English,4.87
Coursera,clinical-data-management,Vanderbilt University,Data Management for Clinical Research,Unknown,0,English,2.25
Coursera,data-science-k-means-clustering-python,University of London,Foundations of Data Science: K-Means Clustering in Python,Unknown,0,English,3.0
Coursera,instructional-design-foundations-applications,University of Illinois at Urbana-Champaign,Instructional Design Foundations and Applications,Unknown,0,English,4.36
Coursera,enlinea,Universidad Nacional Autónoma de México,Cursos en línea: modelo para armar,Unknown,0,Spanish,4.0
Coursera,modern-art-ideas,The Museum of Modern Art,Modern Art & Ideas,Unknown,0,English,4.84
Coursera,speak-english-professionally,Georgia Institute of Technology,"Speak English Professionally: In Person, Online & On the Phone",Unknown,0,English,4.3
Coursera,gcp-infrastructure-foundation,Google Cloud,Essential Google Cloud Infrastructure: Foundation,Unknown,0,English,3.8
Coursera,introduction-to-ai,IBM,Introduction to Artificial Intelligence (AI),Unknown,0,English,4.24
Coursera,dog-emotion-and-cognition,Duke University,Dog Emotion and Cognition,Unknown,0,English,4.81
Coursera,organizational-behavior,Università Bocconi,International Leadership and Organizational Behavior,Unknown,0,English,4.67
Coursera,sdgbusiness,Erasmus University Rotterdam,Driving business towards the Sustainable Development Goals,Unknown,0,English,5.0
Coursera,global-sustainable-development,University of Copenhagen,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",Unknown,0,English,4.83
Coursera,bcg-uva-darden-digital-transformation,BCG,Digital Transformation,Unknown,0,English,4.62
Coursera,nlp-sequence-models,DeepLearning.AI,Sequence Models,Unknown,0,Spanish,4.49
Coursera,entrepreneur-changement,HEC Paris,Devenir entrepreneur du changement,Unknown,0,French,2.0
Coursera,photography,The Museum of Modern Art,Seeing Through Photographs,Unknown,0,English,4.77
Coursera,wharton-entrepreneurship-opportunity,University of Pennsylvania,Entrepreneurship 1: Developing the Opportunity,Unknown,0,English,4.45
Coursera,search-engine-optimization,"University of California, Davis",Introduction to Search Engine Optimization,Unknown,0,English,4.33
Coursera,learn-speak-korean1,Yonsei University,Learn to Speak Korean 1,Unknown,0,English,4.93
Coursera,drug-development,University of California San Diego,Drug Development,Unknown,0,English,4.28
Coursera,r-programming,Johns Hopkins University,R Programming,Unknown,0,English,4.59
Coursera,money-banking,Columbia University,Economics of Money and Banking,Unknown,0,English,3.57
Coursera,learn-chinese,Peking University,Chinese for Beginners,Unknown,0,English,4.81
Coursera,grammar-punctuation,"University of California, Irvine",Grammar and Punctuation,Unknown,0,English,4.49
Coursera,japanese-1,Saint Petersburg State University,Japanese for beginners 1,Unknown,0,English,4.08
Coursera,intro-common-law,University of London,Introduction to English Common Law,Unknown,0,English,5.0
Coursera,dental-medicine-penn,University of Pennsylvania,Introduction to Dental Medicine,Unknown,0,English,4.55
Coursera,fundamentals-of-reinforcement-learning,Alberta Machine Intelligence Institute,Fundamentals of Reinforcement Learning,Unknown,0,English,2.5
Coursera,principles-of-macroeconomics,"University of California, Irvine",The Power of Macroeconomics: Economic Principles in the Real World,Unknown,0,English,4.23
Coursera,corp-sustainability,Università Bocconi,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Unknown,0,English,5.0
Coursera,duke-behavioral-finance,Duke University,Behavioral Finance,Unknown,0,English,4.46
Coursera,tensorflow-sequences-time-series-and-prediction,DeepLearning.AI,"Sequences, Time Series and Prediction",Unknown,0,English,3.7
Coursera,supply-chain-logistics,Rutgers the State University of New Jersey,Supply Chain Logistics,Unknown,0,English,4.63
Coursera,project-execution,"University of California, Irvine",Project Execution,Unknown,0,English,3.0
Coursera,nutricion-obesidad-sobrepeso,Universidad Nacional Autónoma de México,Nutrición y obesidad: control de sobrepeso,Unknown,0,Spanish,4.92
Coursera,microeconomics,University of Illinois at Urbana-Champaign,Microeconomics Principles,Unknown,0,English,4.96
Coursera,craft-of-plot,Wesleyan University,Creative Writing: The Craft of Plot,Unknown,0,English,4.62
Coursera,astro,University of Arizona,Astronomy: Exploring Time and Space,Unknown,0,English,4.92
Coursera,oilandgas,Duke University,Oil & Gas Industry Operations and Markets,Unknown,0,English,4.92
Coursera,uva-darden-design-thinking-innovation,University of Virginia,Design Thinking for Innovation,Unknown,0,English,3.5
Coursera,becoming-a-veterinarian,The University of Edinburgh,EDIVET: Do you have what it takes to be a veterinarian?,Unknown,0,English,5.0
Coursera,learn-to-program,University of Toronto,Learn to Program: The Fundamentals,Unknown,0,English,4.68
Coursera,uva-darden-financial-accounting,University of Virginia,Financial Accounting Fundamentals,Unknown,0,English,4.82
Coursera,finding-purpose-and-meaning-in-life,University of Michigan,Finding Purpose and Meaning In Life: Living for What Matters Most,Unknown,0,English,4.73
Coursera,clinical-research,University of Cape Town,Understanding Clinical Research: Behind the Statistics,Unknown,0,English,5.0
Coursera,epidemiology,The University of North Carolina at Chapel Hill,Epidemiology: The Basic Science of Public Health,Unknown,0,English,4.74
Coursera,fashion-design,The Museum of Modern Art,Fashion as Design,Unknown,0,English,4.79
Coursera,teamwork-skills-effective-communication,University of Colorado Boulder,Teamwork Skills: Communicating Effectively in Groups,Unknown,0,English,4.67
Coursera,feminism-social-justice,"University of California, Santa Cruz",Feminism and Social Justice,Unknown,0,English,4.85
Coursera,international-organizations-management,University of Geneva,International Organizations Management,Unknown,0,English,4.0
Coursera,estrategia-marketing-digital,Universidade de São Paulo,Marketing Digital,Unknown,0,English,4.21
Coursera,gis,"University of California, Davis",Fundamentals of GIS,Unknown,0,English,4.41
Coursera,elearning,University of Illinois at Urbana-Champaign,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,Unknown,0,English,5.0
Coursera,excel-vba-for-creative-problem-solving-part-1,University of Colorado Boulder,"Excel/VBA for Creative Problem Solving, Part 1",Unknown,0,English,4.29
Coursera,international-taxation,Universiteit Leiden,Rethinking International Tax Law,Unknown,0,English,5.0
